selected_windows,positive_windows,negative_windows,positive_precision,utility_sum,minimum_selected_utility,coverage,eligible,retrieval_spec,seq,outer_rank_start,outer_rank_end
2,1,1,0.5,-0.002027,-0.00301,0.666666666667,0,compact_standard_k3_vote67,MOT20-05,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_standard_k3_q25,MOT20-05,41,60
0,0,0,0.0,0.0,0.0,0.0,0,compact_robust_k3_q25,MOT20-05,41,60
3,2,1,0.666666666667,0.000922,-0.000314,1.0,0,compact_robust_k7_vote,MOT20-05,41,60
3,3,0,1.0,0.019087,0.000116,1.0,1,mechanism_robust_k5_pmean,MOT20-05,41,60
3,3,0,1.0,0.019954,0.000983,1.0,1,mechanism_robust_k5_vote,MOT20-05,41,60
3,2,1,0.666666666667,0.017297,-0.001674,1.0,0,mechanism_robust_k7_pmean,MOT20-05,41,60
2,1,1,0.5,-0.000198,-0.000314,0.666666666667,0,mechanism_standard_k5_mean,MOT20-05,41,60
3,1,2,0.333333333333,0.002618,-0.00301,1.0,0,mechanism_standard_k7_pmean,MOT20-05,41,60
3,1,2,0.333333333333,-0.012617,-0.007404,1.0,0,compact_standard_k1_nearest_positive,MOT20-05,61,80
1,1,0,1.0,0.012171,0.012171,0.333333333333,0,compact_standard_k3_vote67,MOT20-05,61,80
1,1,0,1.0,0.012171,0.012171,0.333333333333,0,compact_standard_k3_q25,MOT20-05,61,80
1,1,0,1.0,0.000116,0.000116,0.333333333333,0,compact_robust_k3_q25,MOT20-05,61,80
3,3,0,1.0,0.009183,0.000116,1.0,1,compact_robust_k7_vote,MOT20-05,61,80
3,2,1,0.666666666667,0.010803,-0.001674,1.0,0,mechanism_robust_k5_pmean,MOT20-05,61,80
3,3,0,1.0,0.012798,0.000306,1.0,1,mechanism_robust_k5_vote,MOT20-05,61,80
3,3,0,1.0,0.012593,0.000116,1.0,1,mechanism_robust_k7_pmean,MOT20-05,61,80
1,1,0,1.0,0.000116,0.000116,0.333333333333,0,mechanism_standard_k5_mean,MOT20-05,61,80
3,3,0,1.0,0.009183,0.000116,1.0,1,mechanism_standard_k7_pmean,MOT20-05,61,80
3,3,0,1.0,0.009997,0.000116,1.0,1,compact_standard_k1_nearest_positive,MOT20-05,81,100
2,2,0,1.0,0.009881,0.00112,0.666666666667,1,compact_standard_k3_vote67,MOT20-05,81,100
2,2,0,1.0,0.009881,0.00112,0.666666666667,1,compact_standard_k3_q25,MOT20-05,81,100
3,2,1,0.666666666667,0.009482,-0.00301,1.0,0,compact_robust_k3_q25,MOT20-05,81,100
3,2,1,0.666666666667,0.008207,-0.001674,1.0,0,compact_robust_k7_vote,MOT20-05,81,100
3,2,1,0.666666666667,0.011617,-0.001674,1.0,0,mechanism_robust_k5_pmean,MOT20-05,81,100
3,3,0,1.0,0.013612,0.000321,1.0,1,mechanism_robust_k5_vote,MOT20-05,81,100
3,2,1,0.666666666667,0.006072,-0.00301,1.0,0,mechanism_robust_k7_pmean,MOT20-05,81,100
1,1,0,1.0,0.000116,0.000116,0.333333333333,0,mechanism_standard_k5_mean,MOT20-05,81,100
3,2,1,0.666666666667,0.005867,-0.00301,1.0,0,mechanism_standard_k7_pmean,MOT20-05,81,100
