selected_windows,covered_sequences,selected_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,candidate_stability_min,candidate_stability_mean,eligible,outer_held_out_seq,model_config,score_config,gate_config,model_order,score_order,gate_order
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,4,4,0.2,0.002994011976,0.097674744801,-0.094680732825,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.014138513711}",0.0,0.866666666667,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_030,1,0,4
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,6,4,0.25,0.004210556988,0.295180611921,-0.290970054933,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.014138513711}",0.0,0.9,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_040,1,0,5
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,5,4,0.285714285714,0.004210556988,0.289068854063,-0.284858297075,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.008026755853}",0.8,0.981818181818,0,MOT20-01,extra_d10_l5,mean_positive_fraction,stable_080,1,0,6
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_020_stable_080,1,0,7
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_025_stable_080,1,0,8
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d10_l5,mean_positive_fraction,disp_le_030_stable_080,1,0,9
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,mean_positive_fraction,q25_pos_disp_le_025_stable_080,1,0,10
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d10_l5,mean_positive_fraction,q25_pos_disp_le_030_stable_080,1,0,11
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,4,0.375,0.005820862946,0.289068854063,-0.283247991117,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.006416449895000001}",0.6,0.95,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,all,1,1,0
3,1,['MOT20-02'],1,1,1,0.5,0.002994011976,0.005080440305,-0.002086428329,-0.002086428329,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': 0.0}",1.0,1.0,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_015,1,1,1
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_020,1,1,2
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_025,1,1,3
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,3,4,0.4,0.004604317934,0.091562986943,-0.086958669009,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.006416449895000001}",0.6,0.933333333333,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_030,1,1,4
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,4,0.375,0.005820862946,0.289068854063,-0.283247991117,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.006416449895000001}",0.6,0.95,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_040,1,1,5
11,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,5,4,0.285714285714,0.004210556988,0.289068854063,-0.284858297075,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.008026755853}",0.8,0.981818181818,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,stable_080,1,1,6
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_020_stable_080,1,1,7
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_025_stable_080,1,1,8
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,disp_le_030_stable_080,1,1,9
6,2,"['MOT20-02', 'MOT20-05']",1,2,3,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",0.8,0.966666666667,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,q25_pos_disp_le_025_stable_080,1,1,10
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,4,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_d10_l5,seedq25_positive_fraction,q25_pos_disp_le_030_stable_080,1,1,11
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,4,0.375,0.043234947232,0.289068854063,-0.245833906831,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': 0.030997634391}",0.2,0.866666666667,0,MOT20-01,extra_d10_l5,mean_target_q25,all,1,2,0
5,2,"['MOT20-02', 'MOT20-05']",2,1,2,0.666666666667,0.04201840222,0.005080440305,0.036937961915,-0.002086428329,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': 0.039024390244}",0.2,0.72,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_015,1,2,1
7,2,"['MOT20-02', 'MOT20-05']",2,2,3,0.5,0.04201840222,0.013107196158,0.028911206062,-0.002086428329,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': 0.030997634391}",0.2,0.8,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_020,1,2,2
7,2,"['MOT20-02', 'MOT20-05']",2,2,3,0.5,0.04201840222,0.013107196158,0.028911206062,-0.002086428329,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': 0.030997634391}",0.2,0.8,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_025,1,2,3
9,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,3,4,0.4,0.04201840222,0.091562986943,-0.049544584723,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': 0.030997634391}",0.2,0.822222222222,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_030,1,2,4
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",3,5,4,0.375,0.043234947232,0.289068854063,-0.245833906831,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': 0.030997634391}",0.2,0.866666666667,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_040,1,2,5
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,5,3,0.285714285714,0.004210556988,0.289068854063,-0.284858297075,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.008026755853}",0.8,0.98,0,MOT20-01,extra_d10_l5,mean_target_q25,stable_080,1,2,6
5,2,"['MOT20-02', 'MOT20-05']",1,2,2,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",1.0,1.0,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_020_stable_080,1,2,7
5,2,"['MOT20-02', 'MOT20-05']",1,2,2,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",1.0,1.0,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_025_stable_080,1,2,8
7,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,3,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.971428571429,0,MOT20-01,extra_d10_l5,mean_target_q25,disp_le_030_stable_080,1,2,9
5,2,"['MOT20-02', 'MOT20-05']",1,2,2,0.333333333333,0.002994011976,0.013107196158,-0.010113184182,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.0, 'MOT20-05': -0.008026755853}",1.0,1.0,0,MOT20-01,extra_d10_l5,mean_target_q25,q25_pos_disp_le_025_stable_080,1,2,10
7,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,3,3,0.25,0.002994011976,0.091562986943,-0.088568974967,-0.078455790785,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.078455790785, 'MOT20-05': -0.008026755853}",0.8,0.971428571429,0,MOT20-01,extra_d10_l5,mean_target_q25,q25_pos_disp_le_030_stable_080,1,2,11
12,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,6,4,0.25,0.004210556988,0.295180611921,-0.290970054933,-0.223634001782,"{'MOT20-02': -0.053197539440000004, 'MOT20-03': -0.22363400178200002, 'MOT20-05': -0.014138513711}",0.0,0.9,0,MOT20-01,extra_full_l5,mean_positive_fraction,all,2,0,0
4,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",1,1,2,0.5,0.001216545012,0.008026755853,-0.006810210841,-0.008026755853,"{'MOT20-02': 0.0, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.008026755853}",1.0,1.0,0,MOT20-01,extra_full_l5,mean_positive_fraction,disp_le_015,2,0,1
8,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,2,4,0.5,0.004210556988,0.013107196158,-0.00889663917,-0.008026755853,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': 0.001216545012, 'MOT20-05': -0.008026755853}",0.8,0.975,0,MOT20-01,extra_full_l5,mean_positive_fraction,disp_le_020,2,0,2
10,3,"['MOT20-02', 'MOT20-03', 'MOT20-05']",2,4,4,0.333333333333,0.004210556988,0.165613710025,-0.161403153037,-0.145178210997,"{'MOT20-02': -0.0020864283290000004, 'MOT20-03': -0.145178210997, 'MOT20-05': -0.014138513711}",0.0,0.88,0,MOT20-01,extra_full_l5,mean_positive_fraction,disp_le_025,2,0,3
