outer_sequence,mechanism,calibration_sequence,temporal_block,positive_events,minimum_positive_rank
MOT17-10-FRCNN,same_identity_merge,MOT17-09-FRCNN,0,2,1
MOT17-10-FRCNN,same_identity_merge,MOT17-11-FRCNN,2,1,3
MOT17-10-FRCNN,same_identity_merge,MOT17-11-FRCNN,3,1,6
MOT17-10-FRCNN,same_identity_merge,MOT17-13-FRCNN,2,1,4
MOT17-11-FRCNN,receiver_split,MOT17-02-FRCNN,0,36,5
MOT17-11-FRCNN,receiver_split,MOT17-02-FRCNN,1,110,3
MOT17-11-FRCNN,receiver_split,MOT17-02-FRCNN,2,30,13
MOT17-11-FRCNN,receiver_split,MOT17-02-FRCNN,3,21,1
MOT17-11-FRCNN,receiver_split,MOT17-04-FRCNN,3,2,1
MOT17-11-FRCNN,receiver_split,MOT17-05-FRCNN,0,10,2
MOT17-11-FRCNN,receiver_split,MOT17-05-FRCNN,1,2,126
MOT17-11-FRCNN,receiver_split,MOT17-09-FRCNN,0,1,22
MOT17-11-FRCNN,receiver_split,MOT17-09-FRCNN,1,4,12
MOT17-11-FRCNN,receiver_split,MOT17-09-FRCNN,3,2,9
MOT17-11-FRCNN,receiver_split,MOT17-10-FRCNN,0,2,2
MOT17-11-FRCNN,receiver_split,MOT17-10-FRCNN,1,1,81
MOT17-11-FRCNN,receiver_split,MOT17-10-FRCNN,2,6,3
MOT17-11-FRCNN,receiver_split,MOT17-10-FRCNN,3,8,6
MOT17-11-FRCNN,receiver_split,MOT17-13-FRCNN,0,20,15
MOT17-11-FRCNN,receiver_split,MOT17-13-FRCNN,1,6,4
MOT17-11-FRCNN,receiver_split,MOT17-13-FRCNN,2,38,1
MOT17-11-FRCNN,same_identity_merge,MOT17-02-FRCNN,0,3,1
MOT17-11-FRCNN,same_identity_merge,MOT17-02-FRCNN,1,3,4
MOT17-11-FRCNN,same_identity_merge,MOT17-02-FRCNN,2,3,23
MOT17-11-FRCNN,same_identity_merge,MOT17-02-FRCNN,3,3,2
MOT17-11-FRCNN,same_identity_merge,MOT17-04-FRCNN,3,1,2
MOT17-11-FRCNN,same_identity_merge,MOT17-05-FRCNN,1,2,28
MOT17-11-FRCNN,same_identity_merge,MOT17-05-FRCNN,3,2,7
MOT17-11-FRCNN,same_identity_merge,MOT17-09-FRCNN,0,2,1
MOT17-11-FRCNN,same_identity_merge,MOT17-10-FRCNN,2,2,2
MOT17-11-FRCNN,same_identity_merge,MOT17-13-FRCNN,2,1,2
MOT17-13-FRCNN,receiver_split,MOT17-02-FRCNN,0,36,10
MOT17-13-FRCNN,receiver_split,MOT17-02-FRCNN,1,110,3
MOT17-13-FRCNN,receiver_split,MOT17-02-FRCNN,2,30,4
MOT17-13-FRCNN,receiver_split,MOT17-02-FRCNN,3,21,2
MOT17-13-FRCNN,receiver_split,MOT17-04-FRCNN,3,2,1
MOT17-13-FRCNN,receiver_split,MOT17-05-FRCNN,0,10,5
MOT17-13-FRCNN,receiver_split,MOT17-05-FRCNN,1,2,45
MOT17-13-FRCNN,receiver_split,MOT17-09-FRCNN,0,1,26
MOT17-13-FRCNN,receiver_split,MOT17-09-FRCNN,1,4,13
MOT17-13-FRCNN,receiver_split,MOT17-09-FRCNN,3,2,8
MOT17-13-FRCNN,receiver_split,MOT17-10-FRCNN,0,2,4
MOT17-13-FRCNN,receiver_split,MOT17-10-FRCNN,1,1,87
MOT17-13-FRCNN,receiver_split,MOT17-10-FRCNN,2,6,4
MOT17-13-FRCNN,receiver_split,MOT17-10-FRCNN,3,8,8
MOT17-13-FRCNN,receiver_split,MOT17-11-FRCNN,3,2,39
MOT17-13-FRCNN,same_identity_merge,MOT17-02-FRCNN,0,3,1
MOT17-13-FRCNN,same_identity_merge,MOT17-02-FRCNN,1,3,3
MOT17-13-FRCNN,same_identity_merge,MOT17-02-FRCNN,2,3,19
MOT17-13-FRCNN,same_identity_merge,MOT17-02-FRCNN,3,3,1
MOT17-13-FRCNN,same_identity_merge,MOT17-04-FRCNN,3,1,1
MOT17-13-FRCNN,same_identity_merge,MOT17-05-FRCNN,1,2,30
MOT17-13-FRCNN,same_identity_merge,MOT17-05-FRCNN,3,2,2
MOT17-13-FRCNN,same_identity_merge,MOT17-09-FRCNN,0,2,1
MOT17-13-FRCNN,same_identity_merge,MOT17-10-FRCNN,2,2,2
MOT17-13-FRCNN,same_identity_merge,MOT17-11-FRCNN,2,1,2
MOT17-13-FRCNN,same_identity_merge,MOT17-11-FRCNN,3,1,8
