exp,epoch,dataset,path,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,Dets,GT_Dets,IDs,GT_IDs,IDF1,IDR,IDP,IDTP,IDFN,IDFP
bytetrack_fa_mot_mot17,6.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_6/tracker/MOT17-train/pedestrian_summary.txt,8.6236,73.224,1.0191,79.175,86.256,1.6653,98.689,88.845,8.9606,10.568,84.443,8.924,-3.9413,88.284,78.746,85.268,92.894,39.815,39.815,20.37,46449.0,8025.0,3553.0,45043.0,86.0,86.0,44.0,316.0,-13.931,50002.0,54474.0,48643.0,216.0,,,,,,
bytetrack_fa_mot_mot17,7.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_7/tracker/MOT17-train/pedestrian_summary.txt,8.3437,73.19,0.9557,79.058,86.363,1.3026,99.181,88.87,8.6804,9.7479,84.539,8.2407,-4.5269,88.307,78.661,85.101,92.965,38.426,40.278,21.296,46358.0,8116.0,3508.0,45316.0,83.0,87.0,46.0,318.0,-14.478,49866.0,54474.0,48945.0,216.0,,,,,,
bytetrack_fa_mot_mot17,8.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_8/tracker/MOT17-train/pedestrian_summary.txt,8.7284,73.328,1.0477,79.305,86.229,1.37,99.187,88.825,9.0404,11.297,84.425,9.5377,-4.5196,88.266,78.731,85.351,92.802,39.815,39.352,20.833,46494.0,7980.0,3606.0,45350.0,86.0,85.0,45.0,311.0,-14.535,50100.0,54474.0,48958.0,216.0,,,,,,
bytetrack_fa_mot_mot17,9.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17/val/epoch_9/tracker/MOT17-train/pedestrian_summary.txt,17.166,73.431,4.0442,81.477,83.515,8.1461,78.069,88.184,18.13,21.071,82.348,17.352,13.074,87.702,78.399,87.98,90.18,62.963,28.704,8.3333,47926.0,6548.0,5219.0,35585.0,136.0,62.0,18.0,308.0,2.2542,53145.0,54474.0,36550.0,216.0,10.647,10.517,10.78,5729.0,48745.0,47416.0
bytetrack_fa_mot_mot17_v2,,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/inference/tracker/MOT17-train/pedestrian_summary.txt,32.111,73.642,14.089,81.178,84.201,15.193,96.104,88.324,33.801,38.59,82.785,31.947,12.804,87.996,78.683,87.546,90.807,55.556,33.796,10.648,47690.0,6784.0,4828.0,35887.0,120.0,73.0,23.0,289.0,2.2954,52518.0,54474.0,39890.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,0.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_0/tracker/MOT17-train/pedestrian_summary.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52333.0,54474.0,51693.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,1.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_1/tracker/MOT17-train/pedestrian_summary.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52247.0,54474.0,52088.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,10.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_10/tracker/MOT17-train/pedestrian_summary.txt,27.237,73.849,10.108,81.244,84.382,11.295,96.003,88.309,28.638,32.592,82.921,27.025,6.5756,87.66,78.823,87.552,90.934,54.63,35.648,9.7222,47693.0,6781.0,4755.0,39356.0,118.0,77.0,21.0,297.0,-4.2287,52448.0,54474.0,43835.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,11.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_11/tracker/MOT17-train/pedestrian_summary.txt,18.17,73.278,4.5097,80.83,84.004,5.576,97.081,88.188,19.086,23.215,82.547,19.163,0.17256,88.013,78.834,87.528,90.965,54.63,35.185,10.185,47680.0,6794.0,4736.0,42850.0,118.0,76.0,22.0,301.0,-10.319,52416.0,54474.0,47239.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,12.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_12/tracker/MOT17-train/pedestrian_summary.txt,25.014,73.73,8.5065,81.124,84.34,9.5561,96.609,88.285,26.254,31.036,82.873,25.72,4.0643,87.83,78.773,87.48,90.948,54.167,35.648,10.185,47654.0,6820.0,4743.0,40697.0,117.0,77.0,22.0,299.0,-6.5821,52397.0,54474.0,45179.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,13.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_13/tracker/MOT17-train/pedestrian_summary.txt,22.425,74.005,6.8227,81.349,84.535,7.7659,96.216,88.399,23.536,27.401,83.045,22.755,4.4976,87.646,78.729,87.48,90.906,55.093,34.259,10.648,47654.0,6820.0,4767.0,40437.0,119.0,74.0,23.0,315.0,-6.3098,52421.0,54474.0,44891.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,14.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_14/tracker/MOT17-train/pedestrian_summary.txt,26.641,73.602,9.6688,81.019,84.221,10.42,97.212,88.193,27.918,33.854,82.734,28.009,6.4379,87.855,78.861,87.53,90.989,54.63,35.648,9.7222,47681.0,6793.0,4722.0,39452.0,118.0,77.0,21.0,302.0,-4.1925,52403.0,54474.0,43935.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,15.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_15/tracker/MOT17-train/pedestrian_summary.txt,25.32,73.579,8.7301,81.122,84.14,9.708,96.317,88.27,26.575,31.717,82.731,26.24,7.3833,87.939,78.753,87.583,90.842,56.944,33.333,9.7222,47710.0,6764.0,4810.0,38878.0,123.0,72.0,21.0,307.0,-3.1796,52520.0,54474.0,42916.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,16.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_16/tracker/MOT17-train/pedestrian_summary.txt,26.573,73.284,9.6824,80.837,84.022,10.707,96.668,88.211,27.966,32.455,82.576,26.8,5.1401,87.995,78.762,87.486,90.933,55.556,34.259,10.185,47657.0,6817.0,4752.0,40105.0,120.0,74.0,22.0,304.0,-5.3624,52409.0,54474.0,44582.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,17.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_17/tracker/MOT17-train/pedestrian_summary.txt,29.135,73.326,11.62,80.862,84.045,13.01,95.641,88.208,30.642,35.311,82.606,29.169,8.4114,87.99,78.817,87.515,90.96,54.63,35.185,10.185,47673.0,6801.0,4738.0,38353.0,118.0,76.0,22.0,300.0,-2.0989,52411.0,54474.0,42758.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,18.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_18/tracker/MOT17-train/pedestrian_summary.txt,28.827,73.919,11.359,81.261,84.516,12.17,96.665,88.391,30.309,34.809,83.011,28.895,8.4958,88.016,78.808,87.478,90.983,54.63,35.648,9.7222,47653.0,6821.0,4723.0,38302.0,118.0,77.0,21.0,303.0,-1.988,52376.0,54474.0,42622.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,19.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_19/tracker/MOT17-train/pedestrian_summary.txt,23.459,72.843,7.5776,80.486,83.739,8.3887,97.243,88.096,24.661,30.21,82.28,24.857,3.2878,88.024,78.808,87.462,90.997,54.63,35.648,9.7222,47644.0,6830.0,4714.0,41139.0,118.0,77.0,21.0,301.0,-7.1868,52358.0,54474.0,45654.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,2.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_2/tracker/MOT17-train/pedestrian_summary.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52257.0,54474.0,51932.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,20.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_20/tracker/MOT17-train/pedestrian_summary.txt,21.421,72.957,6.3175,80.603,83.756,7.5767,95.925,88.077,22.552,27.196,82.296,22.381,3.7963,87.992,78.872,87.554,90.979,55.093,34.722,10.185,47694.0,6780.0,4729.0,40897.0,119.0,75.0,22.0,303.0,-6.7168,52423.0,54474.0,45387.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,21.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_21/tracker/MOT17-train/pedestrian_summary.txt,23.563,73.31,7.6384,80.85,84.026,8.6733,95.609,88.19,24.824,28.215,82.559,23.294,6.2378,88.014,78.828,87.524,90.963,54.63,35.185,10.185,47678.0,6796.0,4737.0,39543.0,118.0,76.0,22.0,315.0,-4.253,52415.0,54474.0,43884.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,22.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_22/tracker/MOT17-train/pedestrian_summary.txt,28.414,73.517,11.219,80.998,84.151,12.064,97.517,88.218,29.989,33.452,82.696,27.664,5.6192,88.008,78.806,87.53,90.937,55.093,34.722,10.185,47681.0,6793.0,4752.0,39868.0,119.0,75.0,22.0,301.0,-4.8773,52433.0,54474.0,44212.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,23.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_23/tracker/MOT17-train/pedestrian_summary.txt,18.798,73.695,4.807,81.081,84.382,5.3972,98.403,88.338,19.677,24.055,82.879,19.936,-0.36164,87.973,78.839,87.464,91.025,53.241,36.111,10.648,47645.0,6829.0,4698.0,43144.0,115.0,78.0,23.0,306.0,-10.881,52343.0,54474.0,47715.0,216.0,,,,,,
bytetrack_fa_mot_mot17_v2,24.0,MOT17-train,/gemini/code/FMtrack-main/FM-Track/outputs/bytetrack_fa_mot_mot17_v2/val/epoch_24/tracker/MOT17-train/pedestrian_summary.txt,23.648,72.833,7.7064,80.507,83.677,8.9851,95.835,88.053,24.898,29.011,82.241,23.859,5.7385,87.986,78.878,87.545,90.992,54.63,34.722,10.648,47689.0,6785.0,4721.0,39842.0,118.0,75.0,23.0,298.0,-4.7789,52410.0,54474.0,44243.0,216.0,,,,,,
