variant,policy,cap,selected,positive,negative,positive_precision,positive_sum,negative_mass,raw_utility_sum,worst_sequence_utility,robust_score,eligible,sequence_utility,held_out_seq
compact_directional,median_p60_cat10,1,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,median_p60_cat10,2,3,1,1,0.333333333333,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,median_p60_cat10,3,3,1,1,0.333333333333,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,consensus_safe,1,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,consensus_safe,2,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,consensus_safe,3,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_25,1,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_25,2,3,1,2,0.333333333333,0.040555,0.009564,0.030991,-2.4e-05,0.002251,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0310150000000106, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_25,3,4,1,3,0.25,0.040555,0.023744,0.016811,-2.4e-05,-0.054469,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.016835000000014602, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_40,1,2,1,1,0.5,0.040555,2.4e-05,0.040531,-2.4e-05,0.040411,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0405549999999976, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_40,2,3,1,2,0.333333333333,0.040555,0.009564,0.030991,-2.4e-05,0.002251,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.0310150000000106, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
compact_directional,prob_margin_40,3,4,1,3,0.25,0.040555,0.023744,0.016811,-2.4e-05,-0.054469,0,"{""MOT20-01"": 0.0, ""MOT20-02"": 0.016835000000014602, ""MOT20-05"": -2.40000000104601e-05}",MOT20-03
full_directional,q25_positive,1,2,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
full_directional,q25_positive,2,3,0,2,0.0,0.0,0.024144,-0.024144,-0.024144,-0.144864,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.024143999999992602, ""MOT20-05"": 0.0}",MOT20-03
full_directional,q25_positive,3,4,1,2,0.25,0.000196,0.024144,-0.023948,-0.023948,-0.144276,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.023947999999990102, ""MOT20-05"": 0.0}",MOT20-03
full_directional,q25_p55,1,2,0,1,0.0,0.0,0.00954,-0.00954,-0.00954,-0.05724,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.009539999999987, ""MOT20-05"": 0.0}",MOT20-03
full_directional,q25_p55,2,3,0,2,0.0,0.0,0.024144,-0.024144,-0.024144,-0.144864,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.024143999999992602, ""MOT20-05"": 0.0}",MOT20-03
full_directional,q25_p55,3,3,0,2,0.0,0.0,0.024144,-0.024144,-0.024144,-0.144864,0,"{""MOT20-01"": 0.0, ""MOT20-02"": -0.024143999999992602, ""MOT20-05"": 0.0}",MOT20-03
