selected_windows,covered_sequences,positive_windows,negative_windows,zero_windows,positive_precision,positive_sum,negative_mass,utility_sum,worst_sequence_utility,sequence_utility,robust_score,eligible,outer_held_out_seq,ranker_name,family,target_scale,weight_scheme,gate_name
11,3,3,7,1,0.272727272727,0.020358,0.059883,-0.039525,-0.040599,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.460737,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_2
9,3,3,6,0,0.333333333333,0.020358,0.059783,-0.039425,-0.040499,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.459837,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_4
9,3,3,6,0,0.333333333333,0.020358,0.059783,-0.039425,-0.040499,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.459837,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_8
9,3,3,6,0,0.333333333333,0.020358,0.059783,-0.039425,-0.040499,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.459837,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_12
12,3,4,7,1,0.333333333333,0.020554,0.059883,-0.039329,-0.040599,"{""MOT20-02"": 0.0058950000000094, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.460541,0,MOT20-01,hist_norm_capped,hist,normalized,capped,impact_receiver_le_080
9,3,3,6,0,0.333333333333,0.020358,0.059783,-0.039425,-0.040499,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.459837,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_4_impact_receiver_le_080
7,3,2,5,0,0.285714285714,0.020303,0.057506,-0.037203,-0.040554,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.0405540000000285, ""MOT20-05"": -0.0023479999999977833}",-0.446395,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_4_impact_pair_le_050
8,3,2,6,0,0.25,0.012148,0.059783,-0.047635,-0.040499,"{""MOT20-02"": -0.0025109999999984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.468047,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_4_margin_ge_002
9,3,3,6,0,0.333333333333,0.020358,0.059783,-0.039425,-0.040499,"{""MOT20-02"": 0.0056990000000069, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.459837,0,MOT20-01,hist_norm_capped,hist,normalized,capped,changed_ge_4_score_ge_070
12,3,3,8,1,0.25,0.012344,0.061923,-0.049579,-0.040599,"{""MOT20-02"": -0.004354999999989699, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.480991,0,MOT20-01,hist_norm_tail,hist,normalized,tail,all
11,3,2,8,1,0.181818181818,0.012148,0.061923,-0.049775,-0.040599,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.481187,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_2
9,3,2,7,0,0.222222222222,0.012148,0.061823,-0.049675,-0.040499,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.480287,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_4
8,3,2,6,0,0.25,0.012148,0.059783,-0.047635,-0.040499,"{""MOT20-02"": -0.0025109999999984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.468047,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_8
8,3,2,6,0,0.25,0.012148,0.059783,-0.047635,-0.040499,"{""MOT20-02"": -0.0025109999999984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.468047,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_12
12,3,3,8,1,0.25,0.012344,0.061923,-0.049579,-0.040599,"{""MOT20-02"": -0.004354999999989699, ""MOT20-03"": -0.04059900000004276, ""MOT20-05"": -0.004625000000004284}",-0.480991,0,MOT20-01,hist_norm_tail,hist,normalized,tail,impact_receiver_le_080
9,3,2,7,0,0.222222222222,0.012148,0.061823,-0.049675,-0.040499,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.480287,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_4_impact_receiver_le_080
7,3,1,6,0,0.142857142857,0.012093,0.059546,-0.047453,-0.040554,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.0405540000000285, ""MOT20-05"": -0.0023479999999977833}",-0.466845,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_4_impact_pair_le_050
8,3,2,6,0,0.25,0.012148,0.059546,-0.047398,-0.040499,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.0023479999999977833}",-0.466625,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_4_margin_ge_002
9,3,2,7,0,0.222222222222,0.012148,0.061823,-0.049675,-0.040499,"{""MOT20-02"": -0.0045509999999921984, ""MOT20-03"": -0.04049900000003946, ""MOT20-05"": -0.004625000000004284}",-0.480287,0,MOT20-01,hist_norm_tail,hist,normalized,tail,changed_ge_4_score_ge_070
12,3,5,6,1,0.416666666667,0.121447,0.016055,0.105392,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",0.019036,0,MOT20-02,extra_raw_capped,extra,raw,capped,all
12,3,5,6,1,0.416666666667,0.121447,0.016055,0.105392,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.0013390000000298638, ""MOT20-05"": -0.002026999999998283}",0.019036,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_2
10,3,5,5,0,0.5,0.121447,0.015955,0.105492,-0.002027,"{""MOT20-01"": 0.10875800000000879, ""MOT20-03"": -0.001239000000026564, ""MOT20-05"": -0.002026999999998283}",0.019636,0,MOT20-02,extra_raw_capped,extra,raw,capped,changed_ge_4
