sequence,frame,pre_candidates,postnms_kept,suppressed,orphan_suppressed,reference_kept,reference_count_equal,reference_order_equal,reference_min_matched_iou,reference_max_box_abs_diff,reference_max_score_abs_diff,reference_class_mismatch,reference_set_ok
MOT20-05,42,1990,226,1764,0,226,True,True,0.9999967254878205,0.0001220703125,0.0,0,True
MOT20-05,43,2018,229,1789,0,229,True,True,0.999996263895972,0.0001220703125,0.0,0,True
MOT20-05,44,2019,230,1789,0,230,True,True,0.9999969539498132,0.0001220703125,0.0,0,True
MOT20-05,45,1984,231,1753,0,231,True,True,0.9999972407170824,0.0001220703125,0.0,0,True
MOT20-05,46,1984,227,1757,0,227,True,True,0.9999963917934951,0.0001220703125,0.0,0,True
MOT20-05,47,1971,225,1746,0,225,True,True,0.9999964029941477,0.0001220703125,0.0,0,True
MOT20-05,48,1931,218,1713,0,218,True,True,0.9999962664346879,0.0001220703125,0.0,0,True
MOT20-05,49,1937,217,1720,0,217,True,True,0.999997376942709,0.0001220703125,0.0,0,True
MOT20-05,50,1914,220,1694,0,220,True,True,0.9999959273604001,0.0001220703125,0.0,0,True
MOT20-05,51,1949,226,1723,0,226,True,True,0.9999971892942575,0.0001220703125,0.0,0,True
MOT20-05,52,1940,224,1716,0,224,True,True,0.9999970202710957,0.0001220703125,0.0,0,True
MOT20-05,53,1925,223,1702,0,223,True,True,0.9999966021708776,0.0001220703125,0.0,0,True
MOT20-05,54,1955,225,1730,0,225,True,True,0.9999961908026931,0.0001220703125,0.0,0,True
MOT20-05,55,1947,221,1726,0,221,True,True,0.9999957498849286,0.0001220703125,0.0,0,True
MOT20-05,56,1961,223,1738,0,223,True,True,0.9999961667759135,0.0001220703125,0.0,0,True
MOT20-05,57,1947,221,1726,0,221,True,True,0.9999969614836104,0.0001220703125,0.0,0,True
MOT20-05,58,1966,223,1743,0,223,True,True,0.9999956332640478,0.0001220703125,0.0,0,True
MOT20-05,59,1955,225,1730,0,225,True,True,0.9999953046683335,0.0001220703125,0.0,0,True
MOT20-05,60,1982,227,1755,0,227,True,True,0.9999975122397803,0.0001220703125,0.0,0,True
MOT20-05,61,1975,226,1749,0,226,True,True,0.9999956899988578,0.0001220703125,0.0,0,True
